LP.;Kod 9-znakowy;Nazwa stacji;Rzeka;Rok założenia;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
739;350150500;Jelenia Góra;Bóbr (16);1945;50 54 01;15 47 20;342
740;350150510;Śnieżka;Łomniczka (16184);1945;50 44 11;15 44 23;1603
741;350160520;Kłodzko;Nysa Kłodzka (12);1945;50 26 13;16 36 51;356
742;350170530;Opole;Odra (1);1946;50 37 37;17 58 08;163
743;350180540;Racibórz;Odra (1);1848;50 03 40;18 11 27;206
744;350190550;Częstochowa;Warta (18);1945;50 48 43;19 05 30;293
745;350190560;KATOWICE-MUCHOWIEC;Brynica (2126);1930;50 14 26;19 01 58;278
746;350190566;Kraków-Balice;Rudawa (2136);1964;50 04 41;19 47 40;236
747;350200570;KIELCE-SUKÓW;Lubrzanka (21644);1974;50 48 38;20 41 32;260
748;350200575;TARNÓW;Biała (2148);1946;50 01 32;20 56 31;210
749;350210585;SANDOMIERZ;Wisła (2);1945;50 41 48;21 42 57;217
750;350220580;RZESZÓW-JASIONKA;Wisłok (226);1946;50 06 39;22 02 32;206
751;350230595;Zamość;Łabuńka (242);1945;50 41 54;23 12 20;223
752;351150400;Zielona Góra;Odra (1);1945;51 55 48;15 31 29;192
753;351160415;Legnica;Kaczawa (138);1945;51 11 33;16 12 28;123
754;351160418;Leszno;Strzyżewicki Rów (14884);1957;51 50 08;16 32 05;91
755;351160424;Wrocław-Strachowice;Odra (1);1945;51 06 12;16 54 00;120
756;351160425;WROCŁAW;Odra (1);1956;51 06 49;16 52 54;120
757;351180435;Kalisz;Prosna (184);1945;51 46 52;18 04 51;137
758;351180455;Wieluń;Warta (18);1945;51 12 37;18 33 24;199
759;351190465;Łódź-Lublinek;Ner (1832);1945;51 43 06;19 23 14;174
760;351190469;Sulejów;Pilica (254);1961;51 21 12;19 51 59;188
761;351210488;Kozienice;Wisła (2);1971;51 33 53;21 32 37;123
762;351220495;LUBLIN-RADAWIEC;Bystrzyca (246);1945;51 13 00;22 23 35;238
763;351230497;Włodawa;Bug (266);1954;51 33 13;23 31 46;177
764;352140310;Słubice;Odra (1);1947;52 20 55;14 37 11;53
765;352150300;Gorzów Wlkp.;Warta (18);1946;52 44 28;15 16 38;71
766;352160330;Poznań-Ławica;Warta (18);1946;52 25 00;16 50 05;88
767;352180345;Koło-Radoszewice;Noteć (188);1945;52 21 43;18 42 22;109
768;352190360;PŁOCK;Wisła (2);1946;52 35 18;19 43 33;106
769;352200375;Warszawa;Wisła (2);1918;52 09 46;20 57 40;106
770;352220385;SIEDLCE;Liwiec (2668);1881;52 10 52;22 14 41;152
771;352230399;TERESPOL;Bug (266);1954;52 04 43;23 37 19;133
